Position,Player Name,Team Name,Nationality,Height,Weight,Age,Condition,Overall Rating
CF,T. BRADSHAW,GL BLUE WHITE,WALES,178,71,26,C,70
RB,J. RISDON,Free Agents,AUSTRALIA,167,70,26,C,70
GK,K. KOFFI,LILLE,BURKINA FASO,186,81,22,C,70
AMF,K. PALMER,LANCASHIRE BLUE,ENGLAND,180,68,22,C,70
CMF,SAM MORSY,LN AZURE BLUE WHITE,EGYPT,175,79,27,C,70
CB,Y. SALMIER,TROYES,FRANCE,188,85,26,C,70
RB,A. D'ALBERTO,MOREIRENSE,BELGIUM,178,74,24,C,70
CF,N. LEGUIZAMÓN,COLÓN,ARGENTINA,180,75,23,C,70
LB,L. AGBENYENU,SPORTING CP,GHANA,180,80,22,C,70
GK,J. ARCHER,GL BLUE WHITE,SCOTLAND,186,80,25,C,70
LB,J. MEREDITH,GL BLUE WHITE,AUSTRALIA,185,73,30,C,70
CB,M. ROBERTS,WEST MIDLANDS CITY,ENGLAND,183,81,28,C,70
GK,A. NÜBEL,SCHALKE 04,GERMANY,193,85,22,C,70
CB,C. ZIMMERMANN,NORFOLK CITY,GERMANY,194,92,25,C,70
CMF,FELIPE ARARUNA,SÃO PAULO,BRAZIL,176,70,22,C,70
AMF,B. WOODBURN,YH RED BLACK,WALES,174,72,19,C,70
LWF,GUILHERME,CHAPECOENSE,BRAZIL,178,65,23,C,70

LB,I. ESCOBAR,TALLERES CÓRDOBA,ARGENTINA,178,68,23,C,70
GK,D. BENTLEY,HOUNSLOW,ENGLAND,188,72,25,C,70
CF,M. ANTONSSON,MALMÖ FF,SWEDEN,184,83,27,C,70
RWF,M. MORENO,LANÚS,ARGENTINA,175,71,24,C,70
CB,F. MAYEMBO,LE HAVRE,CONGO,184,86,22,C,70
CB,M. HEFELE,NOTTS REDS,GERMANY,192,89,28,C,70
LWF,MURILO,RIO AVE,BRAZIL,174,67,22,C,70
CB,L. ROSIĆ,SPORTING BRAGA,SERBIA,190,83,25,C,70
LB,H. MENDYL,SCHALKE 04,MOROCCO,179,73,21,C,70
CB,A. MACDONALD,YORKSHIRE ORANGE,ENGLAND,184,70,26,C,70
RB,V. RÜFLI,PARIS,SWITZERLAND,180,76,30,C,70
CMF,FRAN BELTRÁN,GA CYAN,SPAIN,170,64,19,C,70
RB,RAFA NAVARRO,SOCHAUX,SPAIN,173,61,24,C,70
DMF,V. ANGBAN,METZ,CÔTE D'IVOIRE,180,74,22,C,70
LMF,D. SOSA,TIGRE,ARGENTINA,175,72,21,C,70
LWF,ARTHUR GOMES,SANTOS,BRAZIL,174,69,20,C,70
CMF,P. ROSARIO,PSV,NETHERLANDS,179,73,21,C,70
LWF,O. OKWONKWO,BOLOGNA,NIGERIA,181,72,20,C,70
CMF,P. FODEN,MAN BLUE,ENGLAND,171,70,18,C,70
LWF,DAVIDSON,VITÓRIA GUIMARÃES,BRAZIL,177,76,27,C,70
CF,Y. MERDJI,AUXERRE,FRANCE,175,72,25,C,70
CF,B. BRERETON,LANCASHIRE BLUE,ENGLAND,180,78,19,C,70
RMF,C. QUANER,WEST YORKSHIRE TOWN,GERMANY,191,81,27,C,70
CB,WILLIAM KLAUS,INTERNACIONAL,BRAZIL,187,79,24,C,70
CB,L. POKORNÝ,SLAVIA PRAHA,CZECH REPUBLIC,190,86,25,C,70
CF,M. TAYLOR,SW RED,ENGLAND,176,72,28,C,70
AMF,D. BROOKS,EAST DORSETSHIRE,ENGLAND,166,58,21,C,70
DMF,PEDRO SÁ,PORTIMONENSE,PORTUGAL,168,63,25,C,70
CF,C. DESSERS,UTRECHT,BELGIUM,185,77,24,C,70
CB,I. PARO,NIORT,BURKINA FASO,181,79,24,C,70
LB,Y. COULIBALY,LE HAVRE,BURKINA FASO,175,70,24,C,70
DMF,Y. HERRERA,Free Agents,VENEZUELA,183,77,20,C,70

CF,M. INGVARTSEN,GENK,DENMARK,182,76,22,C,70
DMF,J. GÓRALSKI,Free Agents,POLAND,172,66,26,C,70
CMF,M. AMINI,AGF,AUSTRALIA,175,75,25,C,70
GK,O. SHEVCHENKO,SHAKHTAR DONETSK,UKRAINE,188,81,26,C,70
SS,MARCINHO,ATLÉTICO PR,BRAZIL,176,72,23,C,70
CMF,BRAIS MÉNDEZ,GA CYAN,SPAIN,187,80,21,C,70
LB,G. TIGIEV,KRYLYA SOVETOV,RUSSIA,177,76,23,C,70
GK,M. SVILAR,BENFICA,BELGIUM,189,77,19,C,70
RB,J. PALACIOS,MILLONARIOS,COLOMBIA,180,72,28,C,70
DMF,F. LESNIAK,AAB,SLOVAKIA,176,72,22,C,70
CB,J. BEDNAREK,HAMPSHIRE RED,POLAND,189,77,22,C,70
DMF,J. VANLERBERGHE,KV OOSTENDE,BELGIUM,189,75,22,C,70
LMF,B. MCKAY,WEST GLAMORGAN CITY,SCOTLAND,175,67,24,C,70
LB,J. LOTOMBA,YOUNG BOYS,SWITZERLAND,177,67,20,C,70
CF,J. HERNÁNDEZ,AR BURGUNDY BLUE,COLOMBIA,175,73,19,C,70
CMF,R. LOAIZA,ATLÉTICO NACIONAL,COLOMBIA,180,77,24,C,70
CF,RAFAEL LEÃO,LILLE,PORTUGAL,188,81,19,C,70
RMF,B. KOLOLLI,ZÜRICH,KOSOVO,184,82,26,C,70
LB,F. N'GANGA,SPORTING CHARLEROI,CONGO,176,73,33,C,70
DMF,H. KRYEZIU,ZÜRICH,KOSOVO,179,70,25,C,70
DMF,E. ROLLAND,KORTRIJK,FRANCE,184,81,29,C,70
CB,D. BATUBINSIKA,ANTWERP,FRANCE,184,84,22,C,70
LB,E. COBBAUT,ANDERLECHT,BELGIUM,188,78,21,C,70
CMF,N. BAJRAMI,GRASSHOPPER,SWITZERLAND,179,68,19,C,70
RB,N. LAVANCHY,GRASSHOPPER,SWITZERLAND,174,73,25,C,70
CMF,J. AMANI,KAS EUPEN,CÔTE D'IVOIRE,172,70,20,C,70
LMF,N. SCHOUTERDEN,KAS EUPEN,BELGIUM,176,64,30,C,70
RMF,M. TOSETTI,THUN,SWITZERLAND,176,68,26,C,70
CB,M. MARIĆ,LUGANO,SWITZERLAND,188,83,34,C,70
CB,J. RASSOUL,LOKEREN,SENEGAL,187,82,23,C,70
CB,C. HENAO,SANTA FE,COLOMBIA,187,85,30,C,70
LB,M. PEDERSEN,NORDSJÆLLAND,DENMARK,178,74,22,C,70

CMF,V. H-MISTRATI,HOBRO,DENMARK,177,76,26,C,70
CB,A. LUDWIG,OB,DENMARK,184,85,25,C,70
RWF,C. JAKOBSEN,SØNDERJYSKE,DENMARK,189,84,25,C,70
CMF,A. DURAK,RİZESPOR,TURKEY,181,80,31,C,70
DMF,Ş. ÇINAZ,KAYSERİSPOR,TURKEY,187,77,32,C,70
CMF,E. ALMENDRA,BOCA JUNIORS,ARGENTINA,182,75,18,C,70
CB,J. JACH,RİZESPOR,POLAND,192,78,24,C,70
CMF,R. JACK,RANGERS,SCOTLAND,182,72,26,C,70
CB,S. MCKENNA,ABERDEEN,SCOTLAND,189,73,22,C,70
CMF,K. MCLEAN,NORFOLK CITY,SCOTLAND,183,70,26,C,70
AMF,R. CHRISTIE,CELTIC,SCOTLAND,178,70,23,C,70
LMF,MACKAY-STEVEN,ABERDEEN,SCOTLAND,175,73,28,C,70
CF,K. BOYD,KILMARNOCK,SCOTLAND,183,83,35,C,70
DMF,S. EUSTÁQUIO,CHAVES,PORTUGAL,178,66,22,C,70
CB,A. SHABANOV,DYNAMO KYIV,UKRAINE,189,83,26,C,70
RB,A. SUKHOV,UFA,RUSSIA,174,71,32,C,70
CB,P. ALIKIN,UFA,RUSSIA,185,79,34,C,70
LWF,A. ZUEV,ROSTOV,RUSSIA,177,68,22,C,70
AMF,I. GORBATENKO,ARSENAL TULA,RUSSIA,170,68,29,C,70
CB,G. GRIGALAVA,ARSENAL TULA,GEORGIA,190,89,29,C,70
DMF,A. TETTEH,DINAMO MOSKVA,GHANA,188,76,28,C,70
CF,E. MARKOV,DINAMO MOSKVA,RUSSIA,187,78,24,C,70
GK,D. YURCHENKO,YENISEY,RUSSIA,186,85,32,C,70
RWF,M. MITRISHEV,AKHMAT GROZNY,RUSSIA,177,61,26,C,70
CB,V. HAROYAN,URAL,ARMENIA,185,76,26,C,70
AMF,I. AKHMETOV,CSKA MOSKVA,RUSSIA,172,65,21,C,70
RWF,R.ZHEMALETDINOV,LOKOMOTIV MOSKVA,RUSSIA,184,64,22,C,70
CB,E. VANDENABEELE,GRENOBLE FOOT 38,FRANCE,184,77,27,C,70
CB,S. BENGRIBA,GRENOBLE FOOT 38,FRANCE,176,71,38,C,70
CB,VALDO,CEARÁ,BRAZIL,180,77,26,C,70
GK,A. LUNIN,MD BLUE WHITE,UKRAINE,191,80,19,C,70
LWF,R. KURZAWA,AMIENS SC,POLAND,182,73,25,C,70

CB,B. LAMBOT,CERCLE BRUGGE,BELGIUM,189,77,31,C,70
RMF,D. ARZANI,CELTIC,AUSTRALIA,171,73,19,C,70
CB,M. EL WENSH,Free Agents,EGYPT,188,74,23,C,70
CB,T. LEISTNER,NORTH WEST LONDON,GERMANY,190,90,28,C,70
LB,B. BARIŠIĆ,RANGERS,CROATIA,186,75,26,C,70
DMF,H. OTANI,KASHIWA REYSOL,JAPAN,174,67,34,C,70
DMF,H. HOSOGAI,KASHIWA REYSOL,JAPAN,177,69,32,C,70
RMF,A. IENAGA,KAWASAKI FRONTALE,JAPAN,173,70,32,C,70
LMF,A. TANAKA,CEREZO OSAKA,JAPAN,167,68,31,C,70
RB,D. NISHI,KASHIMA ANTLERS,JAPAN,176,73,31,C,70
LWF,R. YAMAZAKI,KASHIWA REYSOL,JAPAN,173,76,29,C,70
RMF,Y. ENDO,KASHIMA ANTLERS,JAPAN,168,69,30,C,70
RMF,K. MIZUNUMA,CEREZO OSAKA,JAPAN,176,72,28,C,70
CMF,K. YAMAMURA,CEREZO OSAKA,JAPAN,186,80,29,C,70
LMF,H. ABE,KAWASAKI FRONTALE,JAPAN,170,69,29,C,70
GK,I. NESTEROV,LOKOMOTIV,UZBEKISTAN,180,84,35,C,70
GK,ZENG CHENG,GUANGZHOU EVERGRANDE,CHINA,191,83,31,C,70
CB,S. J. HOSSEINI,PERSEPOLIS,IRAN,182,84,36,C,70
RB,KIM CHANG-SOO,ULSAN HYUNDAI FC,REPUBLIC OF KOREA,179,74,33,C,70
DMF,W. BAKSHWEEN,AL AHLI,SAUDI ARABIA,176,64,29,C,70
LB,H. KADESH,AL HILAL,SAUDI ARABIA,180,71,26,C,70
CB,FENG XIAOTING,GUANGZHOU EVERGRANDE,CHINA,187,78,33,C,70
LB,LI XUEPENG,GUANGZHOU EVERGRANDE,CHINA,185,76,30,C,70
RB,R. MATSUDA,CEREZO OSAKA,JAPAN,171,69,27,C,70
CB,S. TANIGUCHI,KAWASAKI FRONTALE,JAPAN,183,73,27,C,70
CMF,KO MYONG-JIN,AL RAYYAN,REPUBLIC OF KOREA,185,77,30,C,70
LMF,SALEM ABDULLA,AL JAZIRA,UNITED ARAB EMIRATES,167,54,32,C,70
DMF,CAI HUIKANG,SHANGHAI SIPG,CHINA,183,82,29,C,70
CF,Y. SUZUKI,KASHIMA ANTLERS,JAPAN,182,75,22,C,70
CF,MOHANNAD ASERI,AL AHLI,SAUDI ARABIA,178,69,32,C,70
RB,FU HUAN,SHANGHAI SIPG,CHINA,182,69,25,C,70
CB,SHI KE,SHANGHAI SIPG,CHINA,184,80,25,C,70

CB,M. JURMAN,SUWON SAMSUNG BLUEWINGS,AUSTRALIA,190,84,29,C,70
DMF,K. MISAO,KASHIMA ANTLERS,JAPAN,181,73,22,C,70
RB,DENG HANWEN,GUANGZHOU EVERGRANDE,CHINA,178,78,23,C,70
CB,LIU YIMING,TIANJIN QUANJIAN,CHINA,190,81,23,C,70
AMF,A. ESAKA,KASHIWA REYSOL,JAPAN,175,67,26,C,70
RWF,WAGUININHO,SUWON SAMSUNG BLUEWINGS,BRAZIL,178,69,28,C,70
GK,L. BUTRÓN,ALIANZA LIMA,PERU,184,70,41,C,69
CF,K. MILLER,DUNDEE,SCOTLAND,178,68,39,C,69
DMF,BORJA FERNÁNDEZ,CL PURPLE,SPAIN,185,73,37,C,69
CF,A. LE TALLEC,ORLÉANS,FRANCE,184,73,34,C,69
CF,M. EL HAMDAOUI,EXCELSIOR,MOROCCO,183,84,34,C,69
LWF,CARLITOS,SION,PORTUGAL,176,73,36,C,69
LB,A. TAYLOR,NW WHITE BLACK,ENGLAND,178,69,32,C,69
SS,Y. TOYOKAWA,KAS EUPEN,JAPAN,173,62,24,C,69
CB,J. CHOPLIN,AJACCIO,FRANCE,183,83,33,C,69
CF,R. ACQUAFRESCA,SION,ITALY,184,77,31,C,69
RWF,L. FIGUEROA,UNIV. CONCEPCIÓN,CHILE,179,77,35,C,69
CMF,D. CÓRDOBA,JAGUARES DE CÓRDOBA,COLOMBIA,185,80,32,C,69
LB,D. GORTER,ADO DEN HAAG,NETHERLANDS,175,70,30,C,69
RB,T. MEARS,WEST MIDLANDS STRIPES,ENGLAND,181,74,35,C,69
RB,S. IACOPONI,PARMA,ITALY,180,73,31,C,69
LB,S. POULSEN,SØNDERJYSKE,DENMARK,184,77,34,C,69
GK,G. MAKARIDZE,RIO AVE,GEORGIA,193,87,28,C,69
RB,R. GOREUX,STANDARD LIÈGE,HAITI,174,73,31,C,69
GK,Y. THURAM,LE HAVRE,FRANCE,187,85,30,C,69
GK,AGENOR,SPORT RECIFE,BRAZIL,187,84,29,C,69
GK,M. TØRNES,VENDSYSSEL,DENMARK,187,79,32,C,69
CB,A. LAMAS,ATLÉTICO TUCUMÁN,URUGUAY,187,82,34,C,69
CMF,J. FONTAINE,LE HAVRE,FRANCE,177,73,29,C,69
GK,K. STEPPE,SINT-TRUIDEN,BELGIUM,182,67,30,C,69
GK,G. MARINELLI,TIGRE,ARGENTINA,178,77,29,C,69
CF,N. PEDERSEN,EMMEN,DENMARK,187,80,31,C,69

LWF,T. SANA,AGF,SWEDEN,173,64,29,C,69
GK,B. AMOS,GL BLUE WHITE,ENGLAND,193,76,28,C,69
CF,F. KOITA,KASIMPAŞA,FRANCE,186,86,28,C,69
GK,P. GLYKOS,PAOK,GREECE,189,82,32,C,69
LB,A. CONSIDINE,ABERDEEN,SCOTLAND,183,75,31,C,69
SS,R. RUSESCU,FCSB,ROMANIA,179,73,30,C,69
GK,N. ETHERIDGE,SOUTH WALES,PHILIPPINES,188,90,28,C,69
CF,L. BOUSSAHA,GRENOBLE FOOT 38,FRANCE,178,77,31,C,69
DMF,J. CÓRDOBA,LEONES,COLOMBIA,180,75,30,B,69
LMF,I. OUALI,KORTRIJK,FRANCE,180,80,30,C,69
CB,B. KUMORDZI,KORTRIJK,GHANA,188,72,33,C,69
CB,H. MARTÍNEZ,UNIV. CONCEPCIÓN,CHILE,178,73,31,C,69
DMF,G. SEPÚLVEDA,SAN LUIS,CHILE,182,78,30,C,69
AMF,L. MUGNI,LANÚS,ARGENTINA,182,77,26,C,69
CB,V. MOREN,WAASLAND-BEVEREN,FINLAND,188,80,27,C,69
RB,O. COULIBALY,PANATHINAIKOS,MALI,183,80,29,C,69
CF,F. ARISTEGUIETA,AMÉRICA DE CALI,VENEZUELA,187,82,26,D,69
GK,A. BAROJA,Free Agents,VENEZUELA,183,82,29,C,69
CF,M. DEMIR,SİVASSPOR,TURKEY,180,69,26,C,69
RMF,O. AYIK,AKHİSARSPOR,TURKEY,183,77,28,C,69
GK,M. DELAČ,HORSENS,CROATIA,190,80,26,C,69
GK,CRISTIANO,VITÓRIA SETÚBAL,PORTUGAL,195,90,28,C,69
LB,L. RODRÍGUEZ,TIGRE,ARGENTINA,169,68,25,C,69
CF,C. NÚÑEZ,UNIÓN LA CALERA,URUGUAY,172,70,26,C,69
LMF,M. MIER,LA EQUIDAD,URUGUAY,182,83,28,C,69
DMF,MARCO SOARES,FEIRENSE,CAPE VERDE,180,75,34,C,69
GK,ANTÓNIO FILIPE,CHAVES,PORTUGAL,186,79,33,C,69
RWF,K. BARBAROUSES,Free Agents,NEW ZEALAND,171,68,28,C,69
CMF,K. SMITH,SW RED,ENGLAND,183,78,27,C,69
DMF,J. SILLS,NEWELL'S OLD BOYS,ARGENTINA,180,76,31,C,69
RB,B. JONES,YORKSHIRE REDS,ENGLAND,181,77,31,C,69
CMF,G. GARDNER,WEST MIDLANDS CITY,ENGLAND,186,82,26,C,69

CMF,A. KALI,NAC BREDA,NETHERLANDS,172,67,27,C,69
LWF,D. VAN MIEGHEM,DE GRAAFSCHAP,NETHERLANDS,170,68,29,C,69
LB,JOÃOZINHO,TONDELA,PORTUGAL,185,79,29,C,69
DMF,CRIS,FEIRENSE,PORTUGAL,179,72,34,C,69
AMF,CRIVELLARO,FEIRENSE,BRAZIL,183,76,29,C,69
DMF,S. G. OTERO,UNIÓN ESPAÑOLA,ARGENTINA,178,72,27,C,69
GK,R. FERREIRA,PORTIMONENSE,PORTUGAL,186,76,29,C,69
CF,A. JANSEN,EMMEN,NETHERLANDS,183,77,29,C,69
LB,E. STEVENS,YH RED BLACK,IRELAND,183,78,28,C,69
LB,M. OLSSON,DERBYSHIRE,SWEDEN,180,68,30,C,69
RMF,K. ROOFE,YORKSHIRE WHITES,ENGLAND,178,71,25,C,69
CF,R. BUESS,ST. GALLEN,SWITZERLAND,183,78,26,C,69
CF,E. HERRERA,SPORTING CRISTAL,ARGENTINA,186,84,31,C,69
AMF,O. HERNÁNDEZ,ANTOFAGASTA,CHILE,177,71,24,C,69
CF,D. ÁLVAREZ,PATRIOTAS BOYACÁ,COLOMBIA,173,78,37,C,69
DMF,A. BERNAL,AMÉRICA DE CALI,COLOMBIA,183,80,30,C,69
CB,A. FIGUEROA,MILLONARIOS,COLOMBIA,184,76,31,C,69
LWF,E. KANGWA,ARSENAL TULA,ZAMBIA,175,70,26,C,69
AMF,CIDINHO,BÉZIERS,BRAZIL,170,63,25,C,69
CMF,JACKSON CAUCAIA,CEARÁ,BRAZIL,177,71,31,C,69
AMF,J. DROST,HERACLES,NETHERLANDS,175,75,25,C,69
CB,CHICO,ANTALYASPOR,BRAZIL,186,86,31,C,69
CMF,H. ZLATINSKI,FCSB,BULGARIA,179,70,33,C,69
RWF,BATATINHA,SANTA CLARA,BRAZIL,182,71,28,C,69
CF,LUCAS JOÃO,SOUTH YORKSHIRE BLUES,PORTUGAL,192,84,25,C,69
CB,DIOGO COELHO,NACIONAL,PORTUGAL,183,76,25,C,69
DMF,JOÃO DENONI,RB BRASIL,BRAZIL,172,75,24,C,69
DMF,L. AZOUNI,KORTRIJK,TUNISIA,175,65,24,C,69
CB,M. RODRIGUES,RIO AVE,PORTUGAL,188,81,25,C,69
CMF,J. MICHEL,LOKEREN,FRANCE,177,70,26,C,69
CB,B. GODEAU,ROYAL EXCEL MOUSCRON,BELGIUM,190,78,26,C,69
CB,LUIZ GUSTAVO,VASCO DA GAMA,BRAZIL,180,65,24,B,69

CMF,M. SCOZZARELLA,PARMA,ITALY,170,68,30,C,69
CMF,L. CAPEZZI,EMPOLI,ITALY,178,72,23,C,69
CMF,LLUIS SASTRE,AR BURGUNDY BLUE,SPAIN,174,73,32,C,69
DMF,T. TZANDARIS,PANATHINAIKOS,GREECE,175,73,25,C,69
DMF,V. PÁLSSON,ZÜRICH,ICELAND,186,84,27,C,69
CMF,P. VAN OOIJEN,VVV,NETHERLANDS,179,75,26,C,69
GK,A. DONNARUMMA,MILAN,ITALY,192,96,28,C,69
LB,ROMÁRIO,CEARÁ,BRAZIL,171,72,26,C,69
LB,VINÍCIUS F.,CHAPECOENSE,BRAZIL,183,78,25,C,69
LMF,H. BURBANO,SANTA FE,COLOMBIA,172,68,30,C,69
CMF,F. ACEVEDO,ALDOSIVI,URUGUAY,173,74,25,C,69
DMF,Á. RODRÍGUEZ,UNIÓN LA CALERA,URUGUAY,174,76,26,C,69
GK,E. BABURIN,RUBIN KAZAN,RUSSIA,188,78,25,C,69
AMF,N. MATURANA,COLO-COLO,CHILE,167,63,25,C,69
LB,N. CROVETTO,AUDAX ITALIANO,CHILE,174,70,32,C,69
RB,J. ESPINOZA,O'HIGGINS,CHILE,170,65,27,C,69
DMF,G. SANDOVAL,ANTOFAGASTA,CHILE,170,71,34,C,69
RWF,F. REYNERO,CURICÓ UNIDO,CHILE,178,75,29,C,69
CB,A. ZAPATA,AMÉRICA DE CALI,COLOMBIA,183,79,34,C,69
CB,J. QUIÑÓNES,DEPORTES TOLIMA,COLOMBIA,195,87,29,C,69
RWF,C. ADRIANZÉN,ALIANZA LIMA,PERU,176,73,24,C,69
DMF,M. PÁTKAI,Free Agents,HUNGARY,172,62,30,C,69
SS,RICARDO ALVES,ORENBURG,PORTUGAL,184,80,25,C,69
LWF,ARSÉNIO,MOREIRENSE,PORTUGAL,180,70,29,C,69
GK,M. SOURZAC,NÎMES,FRANCE,188,78,26,C,69
CB,G. KAGELMACHER,KORTRIJK,URUGUAY,188,80,30,C,69
GK,E. ZELAZNY,CAEN,FRANCE,186,80,27,C,69
CMF,M. DIEMERS,FORTUNA SITTARD,NETHERLANDS,175,70,25,C,69
CF,M. BUDIMIR,DINAMO ZAGREB,CROATIA,193,91,32,C,69
DMF,S. LEYTON,EVERTON,CHILE,177,74,25,C,69
AMF,GUILHERME COSTA,VITÓRIA,BRAZIL,176,70,24,C,69
CB,CÉSAR,SANTA CLARA,BRAZIL,192,83,26,C,69

LB,D. LAFFERTY,YH RED BLACK,NORTHERN IRELAND,183,80,29,C,69
RB,F. SÁNCHEZ,UNIÓN LA CALERA,CHILE,173,70,33,C,69
RB,O. BOSSO,AUDAX ITALIANO,CHILE,175,64,25,C,69
CF,G. MARTINEZ,SAN LUIS,CHILE,178,67,29,C,69
CF,F. FLORES,ANTOFAGASTA,CHILE,177,73,31,C,69
GK,Á. SALAZAR,UNIV. CONCEPCIÓN,CHILE,185,79,25,C,69
LB,L. PAVEZ,UNIÓN ESPAÑOLA,CHILE,173,75,23,C,69
CMF,F. SAAVEDRA,UNIÓN LA CALERA,CHILE,170,64,32,C,69
CB,M. VELASQUEZ,EVERTON,CHILE,181,73,30,C,69
LWF,J. MUÑOZ,PALESTINO,CHILE,178,72,31,C,69
CB,B. SAN JUAN,O'HIGGINS,CHILE,177,70,24,C,69
CB,M. NAVARRETE,UNIÓN LA CALERA,CHILE,177,73,26,C,69
RB,T. ASTABURUAGA,ANTOFAGASTA,CHILE,178,68,22,C,69
CF,P. RUBIO,EVERTON,CHILE,178,72,29,C,69
RWF,R. FARFAN,DEPORTES TEMUCO,CHILE,174,72,27,C,69
CB,C. VERGARA,DEPORTES TEMUCO,CHILE,176,70,24,C,69
AMF,D. ROJAS,UNIVERSIDAD CATÓLICA,CHILE,163,60,23,C,69
CB,L. GÜLEN,KAYSERİSPOR,SWITZERLAND,183,70,24,C,69
RWF,D. EFREMOV,CSKA MOSKVA,RUSSIA,180,70,23,C,69
RMF,C. NOONE,NW WHITE BLACK,ENGLAND,177,69,31,C,69
CB,N. BRIGHENTI,FROSINONE,ITALY,178,89,29,C,69
GK,A. WERNER,AR BURGUNDY BLUE,ARGENTINA,191,86,22,C,69
RMF,R. LENIS,ATLÉTICO NACIONAL,COLOMBIA,180,70,26,C,69
GK,P. HEREDIA,BELGRANO,ARGENTINA,183,88,28,C,69
LB,F. ÁLVAREZ,BELGRANO,ARGENTINA,183,78,24,C,69
CF,B. VIDES,LANÚS,ARGENTINA,178,76,25,C,69
CF,F. ANDRADA,UNIÓN SANTA FE,ARGENTINA,180,76,24,C,69
CB,D. DIAZ,CURICÓ UNIDO,CHILE,179,73,32,C,69
LB,L. SAPETTI,ALDOSIVI,ARGENTINA,176,70,29,C,69
LB,C. MAFLA,ATLÉTICO NACIONAL,COLOMBIA,175,70,25,C,69
DMF,C. GONÇALVES,TROYES,PORTUGAL,174,68,24,C,69
CF,H. OSORIO,RIONEGRO ÁGUILAS,COLOMBIA,178,77,30,C,69

GK,S. MOORE,YH RED BLACK,ENGLAND,191,77,28,C,69
RWF,J. DELGADO,TONDELA,CHILE,177,71,25,C,69
RB,C. RODRÍGUEZ,EVERTON,CHILE,169,62,23,C,69
LB,D. TORRES,PALESTINO,CHILE,175,76,26,C,69
DMF,S. DOMINGUEZ,DEPORTES TEMUCO,CHILE,176,74,31,C,69
CF,J. CORREA,DEPORTES TOLIMA,COLOMBIA,184,85,26,C,69
CB,DIEGO GALO,DESPORTIVO AVES,BRAZIL,185,80,34,C,69
CB,DANKLER,VITÓRIA SETÚBAL,BRAZIL,185,81,26,C,69
CF,JONATAS BELUSSO,VITÓRIA,BRAZIL,176,75,30,C,69
CB,RAPHAEL SILVA,BOAVISTA,BRAZIL,190,83,26,C,69
SS,BERGSON,ATLÉTICO PR,BRAZIL,181,76,27,A,69
LMF,I. POBLETE,UNIÓN ESPAÑOLA,CHILE,171,70,23,C,69
LWF,ALEX FREITAS,VITÓRIA SETÚBAL,PORTUGAL,173,65,27,C,69
SS,A. EBRALIDZE,CHAVES,GEORGIA,178,70,27,C,69
DMF,F. MANZANO,PALESTINO,CHILE,173,71,24,C,69
GK,N. ESPINOZA,SAN LUIS,CHILE,190,88,23,C,69
DMF,M.ILAIMAHARITRA,SPORTING CHARLEROI,MADAGASCAR,178,77,23,C,69
LB,AILTON,SPORTING BRAGA,BRAZIL,181,70,23,C,69
DMF,S. DURSUN,ANTALYASPOR,TURKEY,188,79,27,C,69
AMF,C. ESPINOSA,CURICÓ UNIDO,CHILE,172,70,36,C,69
RB,M. PÉREZ ACUÑA,TIGRE,ARGENTINA,176,64,24,C,69
GK,Z. BOUCHER,ANGERS SCO,FRANCE,180,76,26,C,69
CMF,LUÍS CORTEZ,VITÓRIA SETÚBAL,PORTUGAL,174,71,24,C,69
RMF,M. AAQUIST,RANDERS,DENMARK,171,63,24,C,69
GK,THIAGO,FLAMENGO,BRAZIL,185,77,22,C,69
SS,J. CARABALLO,HUACHIPATO,VENEZUELA,182,70,22,C,69
RB,R. ARCIERO,BANFIELD,ARGENTINA,179,77,25,C,69
DMF,J. GUILLERMO,DEPORTIVO PASTO,COLOMBIA,178,75,28,C,69
CF,S. ROMERO,ATLÉTICO BUCARAMANGA,COLOMBIA,176,75,30,C,69
DMF,R. CEPEDA,DEPORTES TEMUCO,CHILE,178,68,24,C,69
DMF,A. BASTÍA,COLÓN,ARGENTINA,178,74,40,C,69
CB,M. CAHAIS,SAN MARTÍN TUCUMÁN,ARGENTINA,185,80,31,C,69

CMF,O. BOZANIĆ,HEARTS,AUSTRALIA,177,75,29,C,69
RB,G. FIERRO,COLO-COLO,CHILE,171,70,35,C,69
GK,A. OUKIDJA,METZ,FRANCE,185,78,30,C,69
CMF,T. COSTA,ALIANZA LIMA,ARGENTINA,186,75,33,C,69
AMF,C. CANÍO,DEPORTES TEMUCO,CHILE,175,70,37,C,69
RWF,D. AMANKWAA,HEARTS,DENMARK,176,70,24,C,69
CF,A. VILCHES,UNIVERSIDAD CATÓLICA,CHILE,180,80,26,C,69
CB,NUNO COELHO,BELENENSES,PORTUGAL,183,75,31,C,69
AMF,J. CORREA,MARÍTIMO,ARGENTINA,170,70,25,C,69
LWF,ZEQUINHA,VITÓRIA SETÚBAL,PORTUGAL,183,77,31,C,69
CF,A. NABBOUT,Free Agents,AUSTRALIA,175,80,26,C,69
AMF,J. VÁSQUEZ,RIONEGRO ÁGUILAS,COLOMBIA,177,72,31,C,69
CB,J. MALAGÓN,PATRIOTAS BOYACÁ,COLOMBIA,189,77,25,B,69
GK,L. ÁLVAREZ,RIONEGRO ÁGUILAS,URUGUAY,187,80,33,C,69
CF,F. AVENATTI,KORTRIJK,URUGUAY,196,86,25,C,69
CB,MIQUEL,MD COBALT BLUE,SPAIN,189,80,26,C,69
